"CP","Năm","Kỳ","DebtEquity","CurrentRatio","QuickRatio","GrossMargin","NetMargin","CashFlow_to_Profit","CashFlow_to_Debt","SellingExpense_Ratio","debt_to_asset","EBIT_to_Interest","AssetTurnover","ROA","ROE"
"ITD","2015","3","1.0706893992559","1.6350085284645","1.2484871925663","1.6978265551087","0.060492876612671","-3.8010877082967","-0.12590911928138","-0.077694267688136","0.51706904939034","-11.411675659516","0.27813716037147","0.01682531692375","0.034840005393131"
"ITD","2015","4","1.2669383939748","1.5812275700542","1.1996120481847","1.7450037461363","0.090843349343145","-0.30227791373222","-0.018301273419531","-0.05596607569974","0.55887641117296","-30.475679911569","0.36425327552641","0.03308998755803","0.075012963251449"
"ITD","2016","1","1.0862557986238","1.7051444955115","1.30056520142","1.7513555787171","0.083269848494128","5.0047013488997","0.2638319953047","-0.063782306395297","0.52067239278152","-10.806502511997","0.31713411124371","0.026407709395584","0.055093236854908"
"ITD","2016","2","1.2499897445299","1.6036116477276","0.96842065695398","1.750852199662","0.037024332624587","-3.0649270339082","-0.034342374685311","-0.088798966775508","0.55555352977446","-12.303636200162","0.16249508674224","0.0060162721414059","0.013536550618465"
"ITD","2016","3","1.3180666409748","1.5796057584198","1.0133348187292","1.7737889695303","0.085528066389218","-1.7130594362135","-0.077184985870891","-0.054355835193629","0.56860601747865","-22.150665508181","0.29012366421028","0.02481371601366","0.057519847329888"
"ITD","2016","4","1.2665924829445","1.6667672770446","1.3703174847515","1.7650151834641","0.093069670357186","1.3147041469236","0.13122946456549","-0.048068282067908","0.55880909006593","-11.450802193881","0.56829408942189","0.052890943568432","0.11988221510805"
"ITD","2017","1","0.71718324407413","2.3036003010468","1.9653263145829","1.7774225214958","0.013468196131853","32.533554269453","0.34054666364286","-0.059220427680264","0.41765096797274","-7.7053784549261","0.28344165878276","0.0038174478524241","0.0065552574873094"
"ITD","2017","2","0.62236468177027","2.5851990110542","2.1458813757505","1.6452312302283","0.0611301866533","9.0957221516793","0.24930331740464","-0.13294332138988","0.38361577317571","-156.97119915237","0.13847574073066","0.0084650478778195","0.013733394706469"
"ITD","2017","3","0.57879007465055","2.61483574928","2.1863430175145","1.5842308533511","0.18148232287838","0.173986999346","0.020983793030558","-0.10821590428521","0.36660356810177","-462.45377865492","0.20100938660396","0.036479650401245","0.057593709980207"
"ITD","2017","4","0.60051528400734","2.5856943716505","2.0718541506607","1.6651050394077","0.056464428639266","7.5687564962892","0.29000841765741","-0.12368948155329","0.3752012180126","-1190.4585076965","0.21554896136257","0.012170848947125","0.019479629759218"
"ITD","2018","1","0.49210177336825","3.0004118944918","2.5260620872003","1.6709950015228","0.033033642146019","-2.5460604089442","-0.069070591590555","-0.11891126061847","0.32980442899507","-59.164555259241","0.22082993400024","0.0072948170148928","0.010884609404318"
